session_length,features,label
6,product_view french press 1l coffee add_to_cart latte blend 500g 120.0 search coffee near me add_to_cart espresso machine 4500.0 search deals today search best arabica coffee,coffee_interest
5,search how to buy ethereum category_view defi products search best crypto wallet 2026 product_view ledger nano wallet crypto hardware product_view trezor model t crypto hardware,crypto_interest
4,search new user offers signup_complete google search how to get started signup_complete google,signup_intent
5,category_view streetwear search summer fashion trends category_view mens shoes product_view air max 2026 mens shoes add_to_cart linen blazer 850.0,fashion_interest
4,product_view french press 1l coffee category_view electronics search coffee near me product_view espresso machine appliances,coffee_interest
3,category_view womens bags product_view air max 2026 mens shoes category_view streetwear,fashion_interest
2,category_view new user deals product_view welcome bundle offers,signup_intent
4,search where to buy coffee beans add_to_cart latte blend 500g 120.0 product_view random item general category_view coffee  beverages,coffee_interest
4,search best crypto wallet 2026 product_view trezor model t crypto hardware search best crypto wallet 2026 search what is defi,crypto_interest
3,product_view latte blend 500g coffee search trending products category_view cafe equipment,coffee_interest
4,search trending products search summer fashion trends product_view gold chronograph luxury watches category_view womens bags,fashion_interest
3,search deals today search how to get started category_view new user deals,signup_intent
4,search luxury watches ethiopia search summer fashion trends search luxury watches ethiopia search luxury watches ethiopia,fashion_interest
2,search crypto trading ethiopia product_view ledger nano wallet crypto hardware,crypto_interest
3,search new user offers signup_complete google signup_complete google,signup_intent
5,search bitcoin price today category_view blockchain  crypto search crypto trading ethiopia category_view web3 tools category_view defi products,crypto_interest
4,search how to buy ethereum category_view blockchain  crypto search crypto trading ethiopia search bitcoin price today,crypto_interest
5,search crypto trading ethiopia category_view defi products category_view defi products search best crypto wallet 2026 product_view trezor model t crypto hardware,crypto_interest
2,add_to_cart linen blazer 850.0 category_view streetwear,fashion_interest
4,checkout_started 3200.0 1 add_to_cart p 101 sony headphones 3200.0 checkout_started 3200.0 1 add_to_cart p 202 nike running shoes 1500.0,abandoned_cart
2,category_view summer dresses category_view womens bags,fashion_interest
5,product_view gold chronograph luxury watches product_view air max 2026 mens shoes category_view womens bags product_view gold chronograph luxury watches category_view luxury watches,fashion_interest
3,product_view espresso machine appliances search best arabica coffee product_view latte blend 500g coffee,coffee_interest
2,product_view linen blazer clothing category_view streetwear,fashion_interest
4,add_to_cart p 404 leather wallet 450.0 add_to_cart p 303 coffee grinder 780.0 add_to_cart p 202 nike running shoes 1500.0 add_to_cart p 404 leather wallet 450.0,abandoned_cart
4,search what is defi category_view defi products search crypto trading ethiopia search best crypto wallet 2026,crypto_interest
4,product_view welcome bundle offers product_view welcome bundle offers signup_complete google product_view welcome bundle offers,signup_intent
2,search best crypto wallet 2026 product_view trezor model t crypto hardware,crypto_interest
4,category_view coffee  beverages category_view home  garden search espresso vs americano search espresso vs americano,coffee_interest
2,product_view welcome bundle offers search new user offers,signup_intent
5,add_to_cart p 404 leather wallet 450.0 add_to_cart p 202 nike running shoes 1500.0 remove_from_cart p 202 checkout_started 3200.0 1 product_view sony headphones electronics,abandoned_cart
4,add_to_cart p 202 nike running shoes 1500.0 search deals today checkout_started 3200.0 1 remove_from_cart p 101,abandoned_cart
3,product_view sony headphones electronics remove_from_cart p 202 checkout_started 3200.0 1,abandoned_cart
5,product_view sony headphones electronics remove_from_cart p 101 checkout_started 3200.0 1 remove_from_cart p 202 add_to_cart p 404 leather wallet 450.0,abandoned_cart
5,category_view blockchain  crypto product_view ledger nano wallet crypto hardware search trending products product_view trezor model t crypto hardware search best crypto wallet 2026,crypto_interest
4,category_view streetwear product_view air max 2026 mens shoes category_view summer dresses category_view luxury watches,fashion_interest
2,search what is defi search crypto trading ethiopia,crypto_interest
3,category_view cafe equipment product_view espresso machine appliances category_view cafe equipment,coffee_interest
5,product_view ethiopian yirgacheffe coffee add_to_cart espresso machine 4500.0 search where to buy coffee beans product_view espresso machine appliances add_to_cart latte blend 500g 120.0,coffee_interest
3,product_view welcome bundle offers signup_complete google product_view welcome bundle offers,signup_intent
3,product_view sony headphones electronics checkout_started 3200.0 1 checkout_started 3200.0 1,abandoned_cart
2,add_to_cart p 101 sony headphones 3200.0 add_to_cart p 404 leather wallet 450.0,abandoned_cart
2,search best crypto wallet 2026 search crypto trading ethiopia,crypto_interest
5,category_view streetwear add_to_cart linen blazer 850.0 category_view womens bags search luxury watches ethiopia product_view air max 2026 mens shoes,fashion_interest
5,search espresso vs americano search trending products search best arabica coffee add_to_cart espresso machine 4500.0 search best arabica coffee,coffee_interest
3,search espresso vs americano product_view ethiopian yirgacheffe coffee search coffee near me,coffee_interest
5,product_view sony headphones electronics category_view electronics add_to_cart p 202 nike running shoes 1500.0 remove_from_cart p 101 remove_from_cart p 202,abandoned_cart
2,add_to_cart espresso machine 4500.0 product_view french press 1l coffee,coffee_interest
5,checkout_started 3200.0 1 add_to_cart p 202 nike running shoes 1500.0 remove_from_cart p 101 product_view sony headphones electronics add_to_cart p 202 nike running shoes 1500.0,abandoned_cart
3,search summer fashion trends product_view gold chronograph luxury watches category_view home  garden,fashion_interest
2,product_view air max 2026 mens shoes category_view streetwear,fashion_interest
2,add_to_cart p 404 leather wallet 450.0 add_to_cart p 303 coffee grinder 780.0,abandoned_cart
3,add_to_cart p 404 leather wallet 450.0 remove_from_cart p 202 checkout_started 3200.0 1,abandoned_cart
5,product_view welcome bundle offers search how to get started category_view new user deals signup_complete phone signup_complete google,signup_intent
5,category_view luxury watches product_view air max 2026 mens shoes product_view gold chronograph luxury watches category_view womens bags category_view mens shoes,fashion_interest
5,search best crypto wallet 2026 category_view blockchain  crypto search crypto trading ethiopia category_view defi products category_view blockchain  crypto,crypto_interest
3,search coffee near me category_view coffee  beverages product_view ethiopian yirgacheffe coffee,coffee_interest
5,add_to_cart p 404 leather wallet 450.0 add_to_cart p 101 sony headphones 3200.0 add_to_cart p 303 coffee grinder 780.0 add_to_cart p 404 leather wallet 450.0 add_to_cart p 202 nike running shoes 1500.0,abandoned_cart
5,product_view gold chronograph luxury watches category_view streetwear add_to_cart linen blazer 850.0 product_view gold chronograph luxury watches category_view streetwear,fashion_interest
4,category_view luxury watches product_view linen blazer clothing category_view streetwear search summer fashion trends,fashion_interest
3,search best crypto wallet 2026 search what is defi category_view blockchain  crypto,crypto_interest
4,search new user offers search how to get started signup_complete phone signup_complete phone,signup_intent
3,signup_complete google search new user offers product_view welcome bundle offers,signup_intent
5,search how to buy ethereum search bitcoin price today search best crypto wallet 2026 search what is defi search crypto trading ethiopia,crypto_interest
6,category_view summer dresses category_view mens shoes product_view air max 2026 mens shoes product_view gold chronograph luxury watches category_view electronics product_view linen blazer clothing,fashion_interest
3,search coffee near me category_view cafe equipment product_view latte blend 500g coffee,coffee_interest
5,search what is defi search what is defi category_view defi products category_view web3 tools search crypto trading ethiopia,crypto_interest
2,search new user offers signup_complete google,signup_intent
3,search espresso vs americano product_view french press 1l coffee search coffee near me,coffee_interest
5,signup_complete phone signup_complete google category_view new user deals category_view new user deals product_view welcome bundle offers,signup_intent
3,category_view womens bags product_view air max 2026 mens shoes product_view linen blazer clothing,fashion_interest
2,search bitcoin price today category_view blockchain  crypto,crypto_interest
4,product_view welcome bundle offers product_view welcome bundle offers signup_complete phone signup_complete phone,signup_intent
6,product_view welcome bundle offers product_view random item general category_view new user deals search new user offers search how to get started category_view new user deals,signup_intent
2,search new user offers category_view new user deals,signup_intent
4,product_view ethiopian yirgacheffe coffee product_view latte blend 500g coffee add_to_cart latte blend 500g 120.0 category_view home  garden,coffee_interest
5,product_view espresso machine appliances search where to buy coffee beans category_view coffee  beverages add_to_cart latte blend 500g 120.0 search where to buy coffee beans,coffee_interest
5,search summer fashion trends product_view gold chronograph luxury watches product_view air max 2026 mens shoes category_view streetwear category_view streetwear,fashion_interest
2,remove_from_cart p 202 remove_from_cart p 101,abandoned_cart
4,product_view trezor model t crypto hardware search what is defi search what is defi search bitcoin price today,crypto_interest
4,search what is defi product_view trezor model t crypto hardware search how to buy ethereum category_view web3 tools,crypto_interest
3,search crypto trading ethiopia search bitcoin price today search what is defi,crypto_interest
5,add_to_cart espresso machine 4500.0 product_view latte blend 500g coffee search coffee near me add_to_cart espresso machine 4500.0 search where to buy coffee beans,coffee_interest
5,checkout_started 3200.0 1 add_to_cart p 202 nike running shoes 1500.0 remove_from_cart p 101 add_to_cart p 404 leather wallet 450.0 checkout_started 3200.0 1,abandoned_cart
2,search best crypto wallet 2026 category_view blockchain  crypto,crypto_interest
4,search how to get started signup_complete google signup_complete phone category_view new user deals,signup_intent
3,add_to_cart p 404 leather wallet 450.0 add_to_cart p 404 leather wallet 450.0 add_to_cart p 303 coffee grinder 780.0,abandoned_cart
5,checkout_started 3200.0 1 product_view sony headphones electronics checkout_started 3200.0 1 add_to_cart p 202 nike running shoes 1500.0 add_to_cart p 404 leather wallet 450.0,abandoned_cart
2,add_to_cart p 303 coffee grinder 780.0 add_to_cart p 404 leather wallet 450.0,abandoned_cart
6,checkout_started 3200.0 1 product_view sony headphones electronics remove_from_cart p 202 add_to_cart p 202 nike running shoes 1500.0 category_view electronics checkout_started 3200.0 1,abandoned_cart
5,search coffee near me add_to_cart latte blend 500g 120.0 search best arabica coffee search coffee near me add_to_cart latte blend 500g 120.0,coffee_interest
5,category_view cafe equipment search where to buy coffee beans product_view latte blend 500g coffee product_view espresso machine appliances search best arabica coffee,coffee_interest
5,search new user offers category_view new user deals search new user offers product_view welcome bundle offers product_view welcome bundle offers,signup_intent
4,category_view web3 tools category_view blockchain  crypto search what is defi search bitcoin price today,crypto_interest
5,search coffee near me search where to buy coffee beans search best arabica coffee search where to buy coffee beans search best arabica coffee,coffee_interest
4,add_to_cart p 202 nike running shoes 1500.0 search deals today add_to_cart p 404 leather wallet 450.0 remove_from_cart p 202,abandoned_cart
5,category_view new user deals signup_complete google search new user offers signup_complete google product_view welcome bundle offers,signup_intent
2,search luxury watches ethiopia product_view air max 2026 mens shoes,fashion_interest
3,signup_complete email search new user offers search new user offers,signup_intent
5,add_to_cart p 404 leather wallet 450.0 add_to_cart p 303 coffee grinder 780.0 checkout_started 3200.0 1 product_view random item general product_view sony headphones electronics,abandoned_cart
4,add_to_cart linen blazer 850.0 category_view streetwear add_to_cart linen blazer 850.0 product_view linen blazer clothing,fashion_interest
2,search new user offers search how to get started,signup_intent
3,product_view gold chronograph luxury watches category_view streetwear product_view linen blazer clothing,fashion_interest
2,category_view web3 tools product_view trezor model t crypto hardware,crypto_interest
3,remove_from_cart p 101 category_view electronics remove_from_cart p 202,abandoned_cart
3,add_to_cart p 202 nike running shoes 1500.0 product_view sony headphones electronics checkout_started 3200.0 1,abandoned_cart
4,search how to get started signup_complete google search how to get started product_view welcome bundle offers,signup_intent
2,product_view air max 2026 mens shoes category_view mens shoes,fashion_interest
5,category_view web3 tools category_view defi products search crypto trading ethiopia category_view blockchain  crypto search bitcoin price today,crypto_interest
4,remove_from_cart p 202 remove_from_cart p 202 remove_from_cart p 101 product_view sony headphones electronics,abandoned_cart
3,product_view ethiopian yirgacheffe coffee product_view latte blend 500g coffee add_to_cart espresso machine 4500.0,coffee_interest
3,category_view new user deals category_view new user deals product_view welcome bundle offers,signup_intent
2,add_to_cart p 202 nike running shoes 1500.0 checkout_started 3200.0 1,abandoned_cart
3,add_to_cart p 101 sony headphones 3200.0 category_view electronics checkout_started 3200.0 1,abandoned_cart
5,category_view new user deals search how to get started search new user offers category_view new user deals search how to get started,signup_intent
2,product_view linen blazer clothing category_view luxury watches,fashion_interest
4,search bitcoin price today product_view trezor model t crypto hardware product_view ledger nano wallet crypto hardware category_view web3 tools,crypto_interest
4,add_to_cart p 202 nike running shoes 1500.0 add_to_cart p 101 sony headphones 3200.0 product_view sony headphones electronics add_to_cart p 404 leather wallet 450.0,abandoned_cart
2,signup_complete email signup_complete phone,signup_intent
3,signup_complete email search how to get started signup_complete google,signup_intent
4,category_view blockchain  crypto category_view blockchain  crypto product_view ledger nano wallet crypto hardware search best crypto wallet 2026,crypto_interest
4,category_view blockchain  crypto search how to buy ethereum category_view defi products search how to buy ethereum,crypto_interest
5,category_view home  garden search bitcoin price today search best crypto wallet 2026 search how to buy ethereum search what is defi,crypto_interest
5,remove_from_cart p 101 add_to_cart p 101 sony headphones 3200.0 remove_from_cart p 101 checkout_started 3200.0 1 category_view electronics,abandoned_cart
2,add_to_cart p 101 sony headphones 3200.0 add_to_cart p 404 leather wallet 450.0,abandoned_cart
6,category_view coffee  beverages product_view ethiopian yirgacheffe coffee add_to_cart latte blend 500g 120.0 search where to buy coffee beans product_view random item general search coffee near me,coffee_interest
4,signup_complete phone category_view new user deals signup_complete phone product_view welcome bundle offers,signup_intent
3,product_view ethiopian yirgacheffe coffee add_to_cart latte blend 500g 120.0 product_view espresso machine appliances,coffee_interest
5,remove_from_cart p 202 add_to_cart p 303 coffee grinder 780.0 add_to_cart p 303 coffee grinder 780.0 add_to_cart p 303 coffee grinder 780.0 checkout_started 3200.0 1,abandoned_cart
2,add_to_cart p 101 sony headphones 3200.0 add_to_cart p 101 sony headphones 3200.0,abandoned_cart
3,product_view gold chronograph luxury watches product_view gold chronograph luxury watches product_view gold chronograph luxury watches,fashion_interest
5,product_view espresso machine appliances product_view latte blend 500g coffee category_view cafe equipment add_to_cart latte blend 500g 120.0 category_view coffee  beverages,coffee_interest
4,signup_complete phone category_view new user deals signup_complete google category_view new user deals,signup_intent
4,add_to_cart latte blend 500g 120.0 product_view espresso machine appliances category_view cafe equipment product_view french press 1l coffee,coffee_interest
2,category_view new user deals category_view new user deals,signup_intent
3,search where to buy coffee beans category_view cafe equipment add_to_cart espresso machine 4500.0,coffee_interest
3,product_view ledger nano wallet crypto hardware search what is defi search how to buy ethereum,crypto_interest
2,category_view coffee  beverages search espresso vs americano,coffee_interest
3,category_view womens bags product_view linen blazer clothing search summer fashion trends,fashion_interest
3,category_view electronics search coffee near me category_view cafe equipment,coffee_interest
5,add_to_cart p 404 leather wallet 450.0 add_to_cart p 404 leather wallet 450.0 add_to_cart p 303 coffee grinder 780.0 product_view sony headphones electronics add_to_cart p 101 sony headphones 3200.0,abandoned_cart
5,product_view air max 2026 mens shoes category_view streetwear category_view luxury watches add_to_cart linen blazer 850.0 category_view mens shoes,fashion_interest
3,category_view blockchain  crypto search best crypto wallet 2026 search how to buy ethereum,crypto_interest
3,add_to_cart p 202 nike running shoes 1500.0 remove_from_cart p 101 add_to_cart p 202 nike running shoes 1500.0,abandoned_cart
2,category_view womens bags search summer fashion trends,fashion_interest
2,product_view sony headphones electronics remove_from_cart p 101,abandoned_cart
4,add_to_cart p 101 sony headphones 3200.0 add_to_cart p 101 sony headphones 3200.0 add_to_cart p 303 coffee grinder 780.0 product_view sony headphones electronics,abandoned_cart
2,category_view womens bags category_view summer dresses,fashion_interest
2,add_to_cart p 404 leather wallet 450.0 add_to_cart p 303 coffee grinder 780.0,abandoned_cart
4,category_view mens shoes product_view gold chronograph luxury watches category_view electronics product_view air max 2026 mens shoes,fashion_interest
4,search trending products search how to buy ethereum search best crypto wallet 2026 search how to buy ethereum,crypto_interest
5,product_view sony headphones electronics product_view sony headphones electronics add_to_cart p 404 leather wallet 450.0 checkout_started 3200.0 1 remove_from_cart p 101,abandoned_cart
4,search new user offers category_view new user deals signup_complete google signup_complete email,signup_intent
5,product_view gold chronograph luxury watches category_view streetwear category_view electronics category_view mens shoes product_view air max 2026 mens shoes,fashion_interest
2,product_view latte blend 500g coffee product_view french press 1l coffee,coffee_interest
2,product_view welcome bundle offers search how to get started,signup_intent
5,product_view air max 2026 mens shoes add_to_cart linen blazer 850.0 category_view womens bags search summer fashion trends search luxury watches ethiopia,fashion_interest
3,search best arabica coffee category_view coffee  beverages add_to_cart espresso machine 4500.0,coffee_interest
3,signup_complete phone search new user offers signup_complete phone,signup_intent
3,product_view random item general search how to get started category_view new user deals,signup_intent
5,product_view random item general add_to_cart p 303 coffee grinder 780.0 product_view sony headphones electronics checkout_started 3200.0 1 remove_from_cart p 101,abandoned_cart
4,search crypto trading ethiopia product_view trezor model t crypto hardware product_view trezor model t crypto hardware search how to buy ethereum,crypto_interest
4,product_view french press 1l coffee product_view latte blend 500g coffee search where to buy coffee beans search coffee near me,coffee_interest
2,category_view new user deals signup_complete phone,signup_intent
4,category_view summer dresses category_view luxury watches add_to_cart linen blazer 850.0 product_view air max 2026 mens shoes,fashion_interest
3,search bitcoin price today category_view defi products search how to buy ethereum,crypto_interest
2,category_view new user deals search new user offers,signup_intent
5,signup_complete google signup_complete google category_view new user deals category_view new user deals search new user offers,signup_intent
5,product_view espresso machine appliances category_view coffee  beverages add_to_cart espresso machine 4500.0 product_view latte blend 500g coffee category_view cafe equipment,coffee_interest
3,search crypto trading ethiopia category_view defi products search what is defi,crypto_interest
5,product_view air max 2026 mens shoes category_view streetwear category_view womens bags product_view air max 2026 mens shoes add_to_cart linen blazer 850.0,fashion_interest
3,search new user offers signup_complete email product_view welcome bundle offers,signup_intent
2,search where to buy coffee beans category_view cafe equipment,coffee_interest
3,search how to get started signup_complete email search new user offers,signup_intent
2,category_view womens bags category_view womens bags,fashion_interest
2,add_to_cart p 303 coffee grinder 780.0 add_to_cart p 101 sony headphones 3200.0,abandoned_cart
3,category_view summer dresses category_view streetwear search luxury watches ethiopia,fashion_interest
5,search what is defi search bitcoin price today search bitcoin price today search best crypto wallet 2026 category_view defi products,crypto_interest
5,signup_complete email signup_complete phone signup_complete phone signup_complete email signup_complete phone,signup_intent
2,add_to_cart p 101 sony headphones 3200.0 checkout_started 3200.0 1,abandoned_cart
3,category_view coffee  beverages search where to buy coffee beans search best arabica coffee,coffee_interest
5,signup_complete google category_view new user deals product_view welcome bundle offers signup_complete phone search new user offers,signup_intent
2,signup_complete phone product_view welcome bundle offers,signup_intent
4,search summer fashion trends category_view streetwear category_view mens shoes category_view luxury watches,fashion_interest
4,search coffee near me product_view espresso machine appliances product_view espresso machine appliances product_view latte blend 500g coffee,coffee_interest
5,remove_from_cart p 202 product_view sony headphones electronics add_to_cart p 101 sony headphones 3200.0 product_view sony headphones electronics add_to_cart p 404 leather wallet 450.0,abandoned_cart
3,add_to_cart latte blend 500g 120.0 search where to buy coffee beans search where to buy coffee beans,coffee_interest
5,signup_complete google search how to get started signup_complete google signup_complete phone search how to get started,signup_intent
4,category_view summer dresses category_view womens bags search luxury watches ethiopia search summer fashion trends,fashion_interest
4,checkout_started 3200.0 1 add_to_cart p 404 leather wallet 450.0 add_to_cart p 404 leather wallet 450.0 checkout_started 3200.0 1,abandoned_cart
6,search best arabica coffee product_view latte blend 500g coffee category_view cafe equipment product_view french press 1l coffee search where to buy coffee beans category_view electronics,coffee_interest
5,product_view gold chronograph luxury watches category_view womens bags product_view linen blazer clothing category_view streetwear category_view mens shoes,fashion_interest
5,category_view streetwear add_to_cart linen blazer 850.0 add_to_cart linen blazer 850.0 category_view mens shoes product_view linen blazer clothing,fashion_interest
2,search how to buy ethereum product_view trezor model t crypto hardware,crypto_interest
3,search best arabica coffee category_view cafe equipment product_view espresso machine appliances,coffee_interest
2,category_view new user deals category_view new user deals,signup_intent
5,search summer fashion trends product_view gold chronograph luxury watches product_view air max 2026 mens shoes category_view womens bags product_view linen blazer clothing,fashion_interest
2,category_view coffee  beverages product_view ethiopian yirgacheffe coffee,coffee_interest
2,signup_complete google signup_complete google,signup_intent
5,category_view new user deals category_view home  garden search new user offers signup_complete google signup_complete email,signup_intent
4,category_view coffee  beverages category_view coffee  beverages product_view french press 1l coffee search where to buy coffee beans,coffee_interest
3,category_view blockchain  crypto product_view ledger nano wallet crypto hardware search how to buy ethereum,crypto_interest
3,category_view blockchain  crypto search bitcoin price today product_view ledger nano wallet crypto hardware,crypto_interest
3,category_view new user deals signup_complete email signup_complete phone,signup_intent
5,product_view sony headphones electronics product_view sony headphones electronics add_to_cart p 101 sony headphones 3200.0 checkout_started 3200.0 1 remove_from_cart p 202,abandoned_cart
4,signup_complete email search how to get started product_view welcome bundle offers category_view new user deals,signup_intent
6,product_view ledger nano wallet crypto hardware category_view defi products category_view defi products product_view ledger nano wallet crypto hardware search crypto trading ethiopia search trending products,crypto_interest
5,search luxury watches ethiopia category_view luxury watches product_view random item general product_view gold chronograph luxury watches product_view gold chronograph luxury watches,fashion_interest
2,product_view welcome bundle offers signup_complete google,signup_intent
3,product_view trezor model t crypto hardware category_view blockchain  crypto product_view trezor model t crypto hardware,crypto_interest
3,search how to get started signup_complete email product_view random item general,signup_intent
3,search summer fashion trends category_view womens bags product_view linen blazer clothing,fashion_interest
4,category_view new user deals signup_complete phone signup_complete google search how to get started,signup_intent
2,remove_from_cart p 202 add_to_cart p 202 nike running shoes 1500.0,abandoned_cart
3,add_to_cart p 303 coffee grinder 780.0 add_to_cart p 202 nike running shoes 1500.0 product_view sony headphones electronics,abandoned_cart
5,category_view summer dresses category_view womens bags product_view gold chronograph luxury watches category_view streetwear product_view air max 2026 mens shoes,fashion_interest
3,search bitcoin price today search best crypto wallet 2026 search crypto trading ethiopia,crypto_interest
4,category_view defi products category_view home  garden category_view web3 tools category_view blockchain  crypto,crypto_interest
5,product_view welcome bundle offers signup_complete phone signup_complete email search new user offers product_view welcome bundle offers,signup_intent
4,search bitcoin price today search best crypto wallet 2026 product_view ledger nano wallet crypto hardware category_view defi products,crypto_interest
2,search luxury watches ethiopia category_view womens bags,fashion_interest
6,category_view womens bags category_view womens bags product_view gold chronograph luxury watches category_view luxury watches category_view home  garden product_view gold chronograph luxury watches,fashion_interest
5,search how to get started category_view new user deals category_view electronics category_view new user deals signup_complete email,signup_intent
5,search how to get started category_view electronics signup_complete google product_view welcome bundle offers product_view welcome bundle offers,signup_intent
5,add_to_cart p 202 nike running shoes 1500.0 checkout_started 3200.0 1 add_to_cart p 202 nike running shoes 1500.0 checkout_started 3200.0 1 add_to_cart p 303 coffee grinder 780.0,abandoned_cart
4,category_view new user deals product_view welcome bundle offers product_view welcome bundle offers product_view welcome bundle offers,signup_intent
2,add_to_cart p 303 coffee grinder 780.0 remove_from_cart p 202,abandoned_cart
4,search how to get started search how to get started category_view new user deals signup_complete email,signup_intent
3,search how to get started category_view new user deals signup_complete google,signup_intent
6,signup_complete google category_view new user deals category_view home  garden signup_complete email search new user offers signup_complete email,signup_intent
5,product_view trezor model t crypto hardware search what is defi category_view blockchain  crypto category_view web3 tools category_view defi products,crypto_interest
3,product_view french press 1l coffee product_view french press 1l coffee add_to_cart espresso machine 4500.0,coffee_interest
4,checkout_started 3200.0 1 add_to_cart p 404 leather wallet 450.0 remove_from_cart p 101 remove_from_cart p 101,abandoned_cart
5,category_view luxury watches category_view luxury watches product_view gold chronograph luxury watches category_view luxury watches add_to_cart linen blazer 850.0,fashion_interest
3,product_view linen blazer clothing product_view air max 2026 mens shoes product_view air max 2026 mens shoes,fashion_interest
4,category_view summer dresses product_view linen blazer clothing category_view womens bags add_to_cart linen blazer 850.0,fashion_interest
4,search bitcoin price today category_view web3 tools search bitcoin price today category_view web3 tools,crypto_interest
3,add_to_cart p 202 nike running shoes 1500.0 remove_from_cart p 101 checkout_started 3200.0 1,abandoned_cart
2,product_view trezor model t crypto hardware product_view ledger nano wallet crypto hardware,crypto_interest
3,category_view new user deals signup_complete email signup_complete phone,signup_intent
3,search best arabica coffee product_view french press 1l coffee add_to_cart espresso machine 4500.0,coffee_interest
5,remove_from_cart p 202 product_view sony headphones electronics add_to_cart p 303 coffee grinder 780.0 add_to_cart p 303 coffee grinder 780.0 add_to_cart p 101 sony headphones 3200.0,abandoned_cart
3,product_view welcome bundle offers search how to get started search new user offers,signup_intent
5,category_view defi products search how to buy ethereum category_view web3 tools category_view web3 tools search crypto trading ethiopia,crypto_interest
3,category_view mens shoes category_view electronics product_view gold chronograph luxury watches,fashion_interest
5,checkout_started 3200.0 1 add_to_cart p 202 nike running shoes 1500.0 remove_from_cart p 101 add_to_cart p 303 coffee grinder 780.0 product_view sony headphones electronics,abandoned_cart
4,remove_from_cart p 202 add_to_cart p 101 sony headphones 3200.0 add_to_cart p 303 coffee grinder 780.0 add_to_cart p 303 coffee grinder 780.0,abandoned_cart
3,product_view trezor model t crypto hardware product_view trezor model t crypto hardware search what is defi,crypto_interest
2,category_view womens bags category_view summer dresses,fashion_interest
4,checkout_started 3200.0 1 add_to_cart p 101 sony headphones 3200.0 add_to_cart p 404 leather wallet 450.0 add_to_cart p 404 leather wallet 450.0,abandoned_cart
4,product_view gold chronograph luxury watches product_view gold chronograph luxury watches category_view luxury watches category_view streetwear,fashion_interest
5,search where to buy coffee beans product_view espresso machine appliances product_view french press 1l coffee add_to_cart latte blend 500g 120.0 category_view coffee  beverages,coffee_interest
4,product_view espresso machine appliances search espresso vs americano add_to_cart espresso machine 4500.0 product_view ethiopian yirgacheffe coffee,coffee_interest
